Date,Consumption,Metadata_1,Metadata_2,Metadata_3
1990-04-01 00:00:00,0.8768429375915834,0.5975975975975976,0.66,0.40420560747663553
1990-04-01 01:00:00,0.8467345189163645,0.5825825825825826,0.47,0.37149532710280375
1990-04-01 02:00:00,0.8075147408526488,0.5675675675675675,0.35,0.3271028037383178
1990-04-01 03:00:00,0.7894496287720066,0.5495495495495496,0.3,0.3457943925233645
1990-04-01 04:00:00,0.789083158199564,0.5345345345345346,0.29,0.31775700934579443
1990-04-01 05:00:00,0.785260663152242,0.5225225225225225,0.3,0.2640186915887851
1990-04-01 06:00:00,0.7802338070077083,0.5105105105105106,0.48,0.22897196261682246
1990-04-01 07:00:00,0.8321253095595791,0.5045045045045046,0.46,0.20794392523364488
1990-04-01 08:00:00,0.9007203825270969,0.5075075075075075,0.28,0.18457943925233647
1990-04-01 09:00:00,0.9091507275810561,0.5435435435435436,0.34,0.1355140186915888
1990-04-01 10:00:00,0.8702977244673353,0.5855855855855856,0.36,0.22196261682242993
1990-04-01 11:00:00,0.8631239108229776,0.6276276276276277,0.4,0.2429906542056075
1990-04-01 12:00:00,0.8573116997191269,0.6696696696696698,0.45,0.2383177570093458
1990-04-01 13:00:00,0.8557931601128811,0.7027027027027027,0.36,0.28037383177570097
1990-04-01 14:00:00,0.8367332204417284,0.7417417417417418,0.34,0.2850467289719626
1990-04-01 15:00:00,0.8453206243124501,0.7687687687687689,0.39,0.3037383177570094
1990-04-01 16:00:00,0.8396654720253588,0.7957957957957958,0.58,0.31775700934579443
1990-04-01 17:00:00,0.8345339708784955,0.7987987987987989,0.76,0.3060747663551402
1990-04-01 18:00:00,0.8425453706700703,0.7957957957957958,0.8,0.35514018691588783
1990-04-01 19:00:00,0.8328059586410574,0.7567567567567568,0.86,0.36915887850467294
1990-04-01 20:00:00,0.8239043762613034,0.6756756756756758,0.88,0.35514018691588783
1990-04-01 21:00:00,0.8042160186965738,0.6606606606606608,0.65,0.31074766355140193
1990-04-01 22:00:00,0.8624956146804216,0.6306306306306307,0.28,0.147196261682243
1990-04-01 23:00:00,0.8523371965135141,0.6156156156156156,0.19,0.08644859813084113
1990-04-02 00:00:00,0.8484101173393729,0.5885885885885886,0.2,0.20560747663551404
1990-04-02 01:00:00,0.826784274906013,0.5465465465465466,0.36,0.20560747663551404
1990-04-02 02:00:00,0.8206577635421077,0.4834834834834836,0.44,0.3457943925233645
1990-04-02 03:00:00,0.8012312315474912,0.46246246246246253,1.0,0.3995327102803739
1990-04-02 04:00:00,0.7966757953552838,0.46246246246246253,0.69,0.29205607476635514
1990-04-02 05:00:00,0.8016501159343654,0.46246246246246253,0.35,0.20794392523364488
1990-04-02 06:00:00,0.8139553698500761,0.46246246246246253,0.35,0.15654205607476637
1990-04-02 07:00:00,0.8436450867649522,0.4474474474474475,0.2,0.10046728971962617
1990-04-02 08:00:00,0.8934942768193305,0.4414414414414415,0.27,0.042056074766355145
1990-04-02 09:00:00,0.9048570560834511,0.44444444444444453,0.7,0.011682242990654207
1990-04-02 10:00:00,0.879880077679587,0.4714714714714715,0.29,0.04672897196261683
1990-04-02 11:00:00,0.8750102803518142,0.5225225225225225,0.28,0.03271028037383177
1990-04-02 12:00:00,0.8563691641920267,0.5645645645645646,0.46,0.08411214953271029
1990-04-02 13:00:00,0.8493525311154523,0.6066066066066066,0.24,0.14485981308411217
1990-04-02 14:00:00,0.8266795690281713,0.6426426426426427,0.34,0.20560747663551404
1990-04-02 15:00:00,0.8223857149040352,0.6756756756756758,0.31,0.21028037383177572
1990-04-02 16:00:00,0.8068340308956616,0.6966966966966968,0.31,0.20794392523364488
1990-04-02 17:00:00,0.8113372358999691,0.7087087087087088,0.26,0.20794392523364488
1990-04-02 18:00:00,0.8188773983657489,0.7057057057057058,0.26,0.19626168224299068
1990-04-02 19:00:00,0.8410269528148436,0.6906906906906908,0.22,0.20327102803738317
1990-04-02 20:00:00,0.8532275008527144,0.6786786786786788,0.24,0.26869158878504673
1990-04-02 21:00:00,0.8708212538565405,0.6426426426426427,0.28,0.40420560747663553
1990-04-02 22:00:00,0.894960585237676,0.6066066066066066,0.26,0.4766355140186916
1990-04-02 23:00:00,0.8962171775227895,0.5735735735735736,0.28,0.4672897196261683
1990-04-03 00:00:00,0.8883627756724654,0.5525525525525525,0.09,0.44392523364485986
1990-04-03 01:00:00,0.8691457163090428,0.5255255255255256,0.11,0.352803738317757
1990-04-03 02:00:00,0.8468915168576168,0.5045045045045046,0.14,0.33644859813084116
1990-04-03 03:00:00,0.8293501167927112,0.4834834834834836,0.17,0.32009345794392524
1990-04-03 04:00:00,0.8376233421543974,0.4684684684684685,0.29,0.308411214953271
1990-04-03 05:00:00,0.8022785338279436,0.45945945945945954,0.18,0.2757009345794393
1990-04-03 06:00:00,0.7969899129888072,0.4534534534534535,0.32,0.21261682242990654
1990-04-03 07:00:00,0.8331201980256003,0.43843843843843844,0.15,0.19626168224299068
1990-04-03 08:00:00,0.8502951275180629,0.42342342342342343,0.16,0.20794392523364488
1990-04-03 09:00:00,0.8819744996139588,0.4654654654654655,0.3,0.16121495327102806
1990-04-03 10:00:00,0.871135432365573,0.5225225225225225,0.4,0.14485981308411217
1990-04-03 11:00:00,0.8547459795834496,0.5765765765765766,0.44,0.16822429906542058
1990-04-03 12:00:00,0.8683602395987035,0.6306306306306307,0.64,0.22897196261682246
1990-04-03 13:00:00,0.8795658991705528,0.6576576576576577,1.0,0.2429906542056075
1990-04-03 14:00:00,0.8812937896569718,0.6876876876876877,1.0,0.24766355140186916
